Jurisdiction,Year,Category ,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Washington County,2035,Total Female,6056,5905,5828,5175,4586,5774,5571,5427,5155,5234,5146,5005,5345,5528,5155,4293,2825,2783,90791
Harford County,2025,Total Hispanic,1262,1315,1416,1536,1319,1221,1118,868,901,830,776,591,496,366,221,184,95,39,14554
Prince George's County,2040,Total Hispanic,14399,12936,12736,13322,12437,13520,11523,12854,10548,12821,15263,16242,15067,10607,5394,3476,1501,469,195115
Frederick County,2045,Non-Hisp White Female,4970,5252,5689,5508,4965,5184,4981,5816,7730,7447,6615,5506,4993,4272,4621,5622,5744,8571,103486
Allegany County,2030,Total Non-Hispanic Black,117,119,156,180,214,189,154,272,302,147,116,126,111,99,43,96,51,57,2549
Frederick County,2025,Total Female,9492,8041,7627,8309,9033,10564,10138,8842,8349,7783,8603,9731,10333,8687,6525,5423,3394,4137,145011
Montgomery County,2030,Total Hispanic,21538,19715,19003,19097,18509,18844,17283,17322,18621,19227,17883,15385,12824,10573,7494,4880,2742,1635,262575
Washington County,2035,Non-Hisp Black Female,1122,1032,1000,895,805,796,810,889,901,797,749,798,809,710,392,245,116,36,12902
Charles County,2030,Total Female,6344,6297,6536,6222,5305,5963,6898,7350,6295,5981,5868,6791,7428,6996,4885,3722,2136,1733,102750
State of Maryland,2020,Non-Hisp White Male,77037,74380,77974,76354,77314,98394,101040,93982,80599,83767,101356,120365,115224,95379,76637,50878,29673,28633,1458986
Anne Arundel County,2010,Hispanic Female,1905,1509,1304,1055,1326,1670,1570,1350,1051,795,622,443,297,166,114,115,61,59,15412
Kent County,2045,Non-Hisp Other Female,24,20,22,19,10,5,5,23,20,13,12,11,7,9,4,5,8,4,221
Somerset County,2020,Total,1265,1067,1187,1586,1512,1364,952,1042,1145,1148,1225,1676,1647,1404,1115,769,446,389,20939
State of Maryland,2045,Total Male,211152,210650,212979,206273,195622,201226,201028,203897,207897,201754,212571,204309,184202,151026,128548,115327,93375,100619,3242455
Baltimore City,2035,Non-Hisp Black Female,11629,11948,11552,11669,11396,12537,11614,11748,13699,13952,12759,10613,9445,9848,10915,9379,6411,5412,196526
Baltimore County,2040,Total,51291,50939,50977,50050,50607,53030,53546,51978,52571,54031,54078,51117,47170,43515,41492,38061,29344,30896,854693
Harford County,2030,Total Male,8430,8347,7994,7357,6830,7592,8609,8819,8382,7945,6719,7166,7767,8189,6977,4534,3338,2631,127626
State of Maryland,2035,Hispanic Female,32894,30506,29586,28435,29623,28348,27613,24262,24019,26103,26633,24522,19699,14987,11723,7610,4431,2225,393219
Harford County,2010,Total Non-Hispanic White,10266,11477,13181,12591,10306,10909,10309,11802,14409,17245,16571,14063,12332,9069,6281,4704,3598,2837,191950
Garrett County,2025,Total,1572,1585,1635,1711,1711,1665,1623,1643,1799,1708,1968,2174,2431,2300,1806,1406,897,679,30313
Kent County,2015,Non-Hisp White Male,261,323,359,277,339,373,278,317,296,413,591,550,566,627,516,309,222,181,6798
Anne Arundel County,2025,Total,35319,34631,35749,33750,29970,34684,38160,40103,39055,34170,34528,37510,39313,33789,26393,20445,12339,9589,569497
Queen Anne's County,2025,Non-Hisp Black Male,85,72,82,110,84,74,93,80,128,113,78,96,126,211,157,77,28,22,1716
Kent County,2040,Non-Hisp Other Female,19,22,18,10,5,5,43,18,12,11,10,7,8,7,5,8,7,3,218
Anne Arundel County,2045,Total Non-Hispanic White,19523,18521,17946,18031,17886,21622,21614,19820,19671,20934,21883,22689,20737,17219,16825,16926,15174,16729,343750
Cecil County,2025,Non-Hisp Other Female,269,198,172,274,248,290,177,157,159,139,138,118,100,43,25,21,13,5,2546
Charles County,2020,Hispanic Female,488,496,512,495,402,469,449,360,366,315,263,225,113,97,58,31,21,23,5183
Allegany County,2045,Non-Hisp Other Female,109,136,142,137,116,117,90,154,134,104,80,66,60,26,31,13,14,11,1540
Cecil County,2020,Total Male,2796,2927,3719,3469,2956,3218,3348,3012,2936,3277,3918,4203,3783,2860,2096,1265,676,613,51072
Baltimore City,2020,Non-Hisp Black Male,12070,11803,12904,11916,10902,11607,11379,11208,10592,9490,10060,11403,10318,7412,5200,3086,1751,1624,164725
Garrett County,2010,Hispanic Female,12,8,6,11,7,5,9,8,8,3,6,6,7,2,3,2,2,1,106
Queen Anne's County,2045,Total,3592,4087,4162,3638,2693,2362,2962,3899,4417,4307,3872,4301,3683,2974,3074,3513,2779,3074,63389
Garrett County,2010,Total,1553,1718,1948,2145,1581,1475,1529,1784,1999,2298,2367,2178,2032,1697,1242,889,632,515,29582
Anne Arundel County,2030,Non-Hisp Other Female,2170,1846,1708,1693,2459,2438,2190,1850,1623,1866,1787,1621,1337,1219,1070,740,496,166,28279
Cecil County,2045,Non-Hisp Other Male,371,390,389,380,302,223,183,332,315,266,181,155,126,88,55,15,14,6,3791
Washington County,2045,Hispanic Female,584,582,570,533,516,461,495,548,461,376,314,263,249,280,225,212,145,18,6832
St. Mary's County,2040,Total,10426,10678,10965,9463,7598,8895,10093,10649,10171,10413,9955,9128,7215,6213,6456,5991,3792,3225,151326
Queen Anne's County,2045,Non-Hisp Black Male,141,122,133,116,101,87,90,117,145,144,144,170,192,224,163,140,85,76,2390
Garrett County,2015,Hispanic Male,22,20,16,12,13,8,11,10,11,10,5,0,3,2,1,2,4,2,152
Anne Arundel County,2015,Total Non-Hispanic White,21330,20511,21873,21459,20261,25136,24718,21934,23326,28016,33037,31193,26697,23433,16521,10137,6969,7024,383575
Wicomico County,2045,Total,7951,8167,8428,8497,9911,7429,6740,8562,8712,8219,7923,7306,6070,5634,4520,4091,3435,4180,125775
Baltimore County,2025,Total Non-Hispanic Black,18098,18489,19596,18606,17289,19309,20706,19141,17282,16316,16427,16852,16062,13613,10142,6985,3579,3572,272064
Anne Arundel County,2020,Non-Hisp Other Male,1506,1468,2191,1880,1529,1463,1422,1423,1359,1209,1035,1044,881,602,468,290,179,59,20008
Allegany County,2030,Non-Hisp Other Female,115,100,104,116,204,173,96,74,68,61,48,52,39,23,30,14,13,9,1339
Washington County,2040,Hispanic Female,582,570,533,516,460,499,548,461,376,323,263,252,284,240,213,159,105,11,6395
Harford County,2015,Non-Hisp Other Female,601,819,809,683,440,404,514,533,518,428,440,377,292,243,171,111,64,33,7480
Charles County,2035,Non-Hisp Other Male,904,946,799,701,467,695,666,646,563,459,364,373,355,379,306,242,186,35,9086
Harford County,2040,Total Hispanic,1693,1644,1455,1475,1473,1590,1781,1405,1220,1062,867,859,763,660,487,413,261,79,19187
Queen Anne's County,2020,Hispanic Female,93,99,97,72,74,47,63,60,73,58,51,51,18,6,5,7,6,0,880
Anne Arundel County,2015,Total Non-Hispanic Black,6408,6549,6519,5865,5386,5956,7104,6266,6141,6418,6542,5720,4214,3085,1793,1265,797,726,86754
Harford County,2015,Non-Hisp Other Male,536,854,832,644,359,338,401,401,415,416,388,310,240,177,126,51,47,15,6550
Garrett County,2010,Non-Hisp White Female,710,795,883,986,715,736,733,904,987,1170,1175,1084,1008,841,606,496,385,335,14549
Wicomico County,2010,Total Non-Hispanic Black,1830,1838,1812,1883,1908,1471,1376,1267,1445,1657,1616,1337,1020,691,483,404,266,194,22498
Somerset County,2030,Total Non-Hispanic White,490,483,524,480,438,525,499,630,685,827,828,881,939,1132,997,770,494,349,11971
Howard County,2015,Non-Hisp White Female,3832,3753,5090,5185,4499,4773,4571,4293,5027,6498,8220,7777,6615,5334,3674,2380,1631,1889,85041
Wicomico County,2015,Non-Hisp White Female,1233,1500,1659,1948,3004,2096,1619,1930,1790,2089,2452,2438,2290,2061,1583,1020,808,986,32506
Anne Arundel County,2015,Total Female,17139,17356,17575,16267,15349,18963,19186,17892,18168,20282,22570,20777,17500,14951,10437,6652,4776,5140,280980
Talbot County,2020,Total Non-Hispanic Black,246,271,313,334,251,276,255,222,216,278,364,405,367,363,258,199,136,105,4859
Queen Anne's County,2030,Total,3045,3195,3075,2741,2392,2460,3010,3240,3885,3433,2817,3361,4096,4465,3742,2815,1785,1622,55179
St. Mary's County,2030,Non-Hisp Other Male,482,406,375,368,465,395,314,254,226,205,214,175,213,144,92,44,21,34,4427
Prince George's County,2010,Non-Hisp Black Female,17406,17538,19309,20338,18703,19872,19742,21665,24179,25757,23597,20566,16834,10982,6893,4437,2720,2330,292868
Queen Anne's County,2040,Non-Hisp Black Male,127,106,116,101,88,79,120,92,129,157,125,174,152,167,149,163,98,53,2196
Montgomery County,2025,Non-Hisp Other Female,6943,6779,7302,7442,6854,7969,7318,7535,8562,9086,8797,8327,7775,6626,5270,4058,2303,2049,120995
Caroline County,2010,Non-Hisp Other Female,75,49,68,41,23,21,18,22,22,26,26,18,11,9,8,4,2,2,445
Charles County,2045,Total Non-Hispanic Black,8991,9589,10499,10732,7537,7508,7831,8321,9079,10082,9761,7874,6700,6202,6802,6766,3713,2463,140450
Somerset County,2025,Non-Hisp Other Male,68,74,39,25,47,24,26,28,17,26,28,33,24,29,9,8,6,6,517
Montgomery County,2015,Hispanic Female,8262,7812,7801,7007,7116,8210,8480,8394,7510,6570,6113,4608,3397,2371,1722,1148,797,611,97929
State of Maryland,2040,Total,408942,404431,410260,393902,372899,401481,410928,426206,419963,439027,430000,399592,351269,326083,314479,294329,217262,230261,6651314
Somerset County,2025,Non-Hisp Other Female,52,40,32,57,42,40,38,32,23,18,18,16,13,17,8,11,6,3,466
Carroll County,2025,Hispanic Female,291,269,263,268,278,248,226,193,198,156,174,163,135,70,20,20,16,11,2999
Dorchester Co,2010,Non-Hisp Black Female,356,274,311,373,328,275,278,301,309,340,348,371,238,178,153,135,92,100,4760
Montgomery County,2015,Total Male,33714,32673,35809,31436,28535,34490,35856,33767,33090,33734,35906,34077,28726,22082,14902,9708,6575,7022,492102
Talbot County,2010,Hispanic Female,132,98,64,65,90,112,98,66,57,43,34,19,16,16,17,4,2,8,941
St. Mary's County,2010,Non-Hisp Other Female,374,337,307,293,176,184,215,197,232,233,181,142,111,61,44,30,26,11,3154
Frederick County,2040,Hispanic Female,2021,1916,1782,1617,1394,1488,1520,1429,1463,1177,1058,1062,1040,889,751,595,415,235,21852
Somerset County,2010,Hispanic Female,69,49,32,36,53,38,29,25,14,12,14,5,4,4,2,4,1,1,392
Baltimore City,2030,Total Non-Hispanic Black,24031,23188,23369,22809,24504,22314,21734,25564,26565,24966,21067,18529,19123,20589,18131,12738,7797,6336,363354
Baltimore County,2010,Non-Hisp Black Female,7297,7282,8059,8138,8085,8362,8256,8488,8874,8741,8047,6752,5426,3441,2283,1616,1062,1009,111218
St. Mary's County,2025,Total Non-Hispanic White,5944,5728,5790,5328,4724,5725,6318,6658,6428,5454,5476,6222,6570,5274,3860,3035,1821,1479,91834
Kent County,2030,Non-Hisp White Female,270,333,366,340,363,334,209,287,400,334,418,552,761,925,894,632,548,519,8485
State of Maryland,2015,Non-Hisp Other Male,19571,23693,22567,18996,16547,17601,17757,17938,17962,16164,15682,13530,10728,8221,5750,3847,2144,1727,250425
Prince George's County,2020,Hispanic Male,7694,7666,6996,6604,5746,7526,8858,9619,8994,7031,5290,3773,2602,1566,551,327,180,65,91088
Dorchester Co,2020,Non-Hisp Black Male,310,288,387,337,244,186,197,262,301,268,296,354,326,215,126,87,60,49,4293
Calvert County,2040,Non-Hisp White Male,1868,2170,2556,2374,1681,1587,1955,2555,3059,2858,2658,2173,1631,1543,1928,1970,1404,1222,37192
Carroll County,2030,Non-Hisp Other Female,398,344,264,250,320,356,318,288,219,198,202,279,224,213,176,70,60,48,4227
Baltimore City,2025,Total Non-Hispanic White,10465,6483,5012,3324,10940,19292,22463,20388,14219,10117,7963,7683,7773,7433,6328,4893,2833,2356,169965
Garrett County,2035,Non-Hisp Other Male,38,31,27,19,27,55,43,25,17,17,9,5,12,3,3,2,4,7,344
Montgomery County,2045,Non-Hisp White Male,7990,7300,7712,7761,6990,9512,9918,8858,7993,9024,11904,12797,11192,8347,7682,7779,7193,8169,158121
Worcester County,2030,Total Female,1269,1244,1402,1371,1199,1464,1365,1419,1599,1553,1573,1954,2556,2927,2455,1858,1380,1190,29778
St. Mary's County,2040,Total Non-Hispanic Black,1808,1907,1996,1954,1547,1609,1615,1700,1621,1872,1735,1651,1197,1070,991,725,421,290,25709
Anne Arundel County,2010,Total Male,17698,17318,17754,16895,15614,17695,16494,16898,18764,21155,19998,16953,14629,10545,6734,4782,3216,2247,255389
Dorchester Co,2020,Non-Hisp White Female,466,575,506,512,354,606,527,632,570,663,831,897,1040,785,729,559,305,338,10895
Worcester County,2040,Non-Hisp White Female,776,793,943,927,843,1037,948,1138,1218,1357,1540,1730,1846,2064,2138,2046,1457,1377,24178
Baltimore City,2020,Hispanic Male,1327,1733,1472,986,585,1001,1829,2210,1811,1342,974,694,389,178,141,63,10,12,16757
Allegany County,2040,Hispanic Male,42,40,34,33,26,21,15,26,22,18,29,24,34,24,19,12,5,3,427
Prince George's County,2010,Total Non-Hispanic Black,35185,35648,39110,41687,36475,36272,35303,38864,43380,46023,42005,35691,29442,19175,12283,7640,4233,3195,541611
State of Maryland,2025,Non-Hisp White Female,74237,71670,70953,64761,71447,86455,95305,98852,90488,80276,86843,104151,118502,112121,94204,77133,50400,52484,1500282
Baltimore City,2015,Total,37980,35531,33453,30664,44563,60573,52025,41102,34817,35607,39745,39229,32819,25423,17288,11962,8282,9036,590099
Prince George's County,2045,Total Hispanic,14811,13142,12902,12721,13188,12305,13450,11484,12804,10497,12762,15103,15982,13646,6929,4699,2139,690,199254
Allegany County,2015,Hispanic Female,48,30,35,32,46,29,22,28,42,16,11,10,12,9,6,6,2,7,391
Calvert County,2010,Hispanic Male,126,143,143,101,80,73,72,75,97,100,59,35,28,19,6,11,5,5,1178
Baltimore County,2035,Non-Hisp White Female,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,147330
Queen Anne's County,2020,Total,2458,2698,3225,3167,2220,2094,2864,2936,2702,3186,3912,4521,4116,3265,2713,2171,1047,954,50249
Calvert County,2030,Non-Hisp Other Male,215,200,200,170,170,176,162,129,126,105,94,114,123,100,75,40,17,6,2222
Dorchester Co,2040,Hispanic Male,178,172,135,117,82,69,49,38,42,57,63,82,50,30,24,14,11,14,1227
Caroline County,2025,Non-Hisp White Female,697,700,697,789,732,708,785,938,914,866,843,1004,1053,982,798,599,361,260,13726
Wicomico County,2040,Hispanic Male,483,430,357,285,246,254,288,233,187,236,330,326,237,119,61,35,21,13,4141
Cecil County,2015,Non-Hisp Black Male,258,244,303,326,253,224,196,203,207,248,248,211,120,82,61,24,18,14,3240
Frederick County,2010,Non-Hisp White Female,4689,5449,6046,5604,4407,4971,4926,5977,7484,8621,7904,6651,5486,3818,2625,2192,1907,1995,90752
Somerset County,2045,Hispanic Male,73,73,70,58,47,48,42,36,19,12,12,11,9,5,1,1,1,0,518
St. Mary's County,2035,Non-Hisp White Female,3251,3216,3104,2575,2375,2911,3429,3496,3746,3587,3249,2739,2661,2805,2791,2338,1563,1410,51246
Talbot County,2025,Total Female,865,940,968,946,857,831,941,1071,1174,1046,1152,1372,1736,1904,1683,1388,1027,933,20834
Calvert County,2035,Hispanic Male,222,210,196,168,160,144,176,134,120,133,113,83,46,53,42,26,9,43,2078
Montgomery County,2035,Non-Hisp Black Male,9132,8192,8855,8069,6852,7140,9047,8009,8814,8211,7002,5894,5165,4448,4168,2935,1651,1224,114808
Worcester County,2020,Non-Hisp Black Male,229,200,233,231,203,199,163,169,172,152,172,195,237,209,136,81,52,50,3083
Charles County,2015,Non-Hisp Black Female,2228,2372,2797,3064,2223,2060,2193,2536,3283,3722,3238,2136,1569,1158,694,545,219,265,36302
Allegany County,2040,Non-Hisp Black Female,80,52,73,123,180,94,68,52,65,116,90,43,47,47,25,48,36,115,1354
St. Mary's County,2010,Hispanic Female,235,226,201,131,127,177,180,125,113,116,102,49,37,24,25,16,10,5,1899
Prince George's County,2015,Hispanic Female,8060,6555,6187,4765,5481,6678,7166,6708,5152,4154,3254,2271,1598,938,534,370,218,142,70231
Calvert County,2045,Total Female,2421,2840,3154,3004,2387,2249,2565,2882,3381,3668,3647,3334,2681,2115,2254,2856,2707,3022,51167
Carroll County,2025,Non-Hisp Other Male,405,372,324,372,246,198,223,208,151,125,199,221,265,167,110,31,14,8,3639
Carroll County,2040,Hispanic Male,374,389,391,379,360,374,371,327,322,364,321,292,204,94,95,79,21,39,4796
Washington County,2015,Non-Hisp Other Female,220,487,476,353,252,203,215,211,200,190,179,132,109,67,60,28,5,16,3403
Harford County,2035,Total,17235,17044,17062,15728,13417,15326,17369,18993,18515,17061,16059,14021,14528,15510,16127,12524,8942,10550,276011
Somerset County,2010,Non-Hisp Other Male,37,51,27,15,32,9,15,12,19,15,23,22,16,13,4,6,2,0,318
Howard County,2015,Total,19004,19903,23259,21674,17895,18838,19858,19665,21004,23300,25819,22473,18240,14638,9816,6357,4069,3719,309531
Baltimore County,2035,Total,49541,49234,49670,48872,49870,51921,50217,49965,49724,48541,47698,46614,45545,42883,40466,37205,33413,32844,824223
Carroll County,2040,Non-Hisp White Female,3396,4000,4010,3791,3261,2911,3693,4421,4501,4483,4310,3901,3296,4360,5540,6287,5240,6564,77965
Montgomery County,2010,Non-Hisp White Female,11473,13212,13713,12053,10446,13516,12945,13954,17278,20687,22108,21058,17364,12305,8682,7674,7426,8858,244752
Worcester County,2045,Total Female,1316,1313,1606,1526,1298,1422,1485,1606,1813,1765,1919,2281,2395,2247,2207,2186,1894,1784,32063
Cecil County,2020,Total Female,2654,2723,3344,3248,2807,3163,3153,2902,3043,3364,4047,4285,4033,3102,2385,1611,959,957,51780
Somerset County,2010,Non-Hisp Black Male,243,221,222,251,385,175,146,128,150,186,194,179,128,114,76,59,37,22,2916
Cecil County,2020,Hispanic Female,193,205,254,207,184,198,146,150,137,139,107,87,76,52,22,14,9,7,2187
Montgomery County,2025,Hispanic Female,9454,8814,9216,8846,8944,8664,8516,9246,9263,8783,7748,6515,5974,4478,3268,2039,1358,869,121995
Kent County,2045,Hispanic Female,31,24,25,25,25,21,19,29,31,27,16,25,31,17,4,3,2,0,355
Somerset County,2010,Total Non-Hispanic White,590,601,637,691,620,631,609,683,725,1047,1120,1131,1070,870,609,472,362,261,12729
Howard County,2035,Non-Hisp Black Male,3010,3458,3899,3789,2380,2277,2526,2650,2765,2457,2504,2094,1977,1766,1177,841,484,481,40535
Garrett County,2030,Non-Hisp Other Male,26,20,19,21,48,58,23,31,13,9,7,11,4,9,3,3,4,7,316
Dorchester Co,2035,Total Hispanic,379,339,280,242,229,229,175,139,106,126,129,109,46,37,31,23,21,15,2655
Calvert County,2025,Total Female,2706,2941,2948,2837,2466,2760,3311,3266,2954,2519,2802,3822,4129,3275,2526,1895,1174,1191,49522
Kent County,2035,Hispanic Female,33,25,24,22,20,30,31,27,19,29,32,28,19,10,3,2,2,0,356
Garrett County,2045,Non-Hisp Black Male,37,26,20,18,13,4,2,7,3,2,7,7,1,1,4,1,2,2,157
Washington County,2020,Total Non-Hispanic White,6369,5829,6911,6894,6068,6057,6567,7187,6957,7674,8814,9788,9037,7693,6249,4505,2843,2998,118440
Howard County,2020,Total Non-Hispanic Black,4624,5223,5721,4937,3512,4108,4627,5248,4851,4641,4625,4130,3208,2286,1715,1145,767,583,65951
Howard County,2025,Total Hispanic,2486,2298,2360,2650,2421,2449,2231,1936,1957,2050,1646,1476,1057,654,404,265,160,58,28558
Garrett County,2040,Total Female,810,868,895,892,857,721,792,968,1029,947,958,1021,934,988,932,909,693,656,15870
Baltimore City,2045,Non-Hisp White Male,5024,2992,3006,2486,6253,12012,10164,7113,7614,6344,7497,7067,4782,3038,2035,1637,1169,966,91199
Washington County,2045,Non-Hisp Black Male,1282,1184,1118,1074,886,787,704,633,663,628,605,457,397,356,148,98,53,-2,11071
Washington County,2020,Total Non-Hispanic Black,1344,1198,1161,1202,997,974,825,857,986,913,905,936,774,404,168,89,55,21,13809
Calvert County,2025,Total Non-Hispanic White,4141,4398,4444,4115,3712,4367,5032,5144,4691,3728,3989,5483,6322,5208,3881,2856,1762,1609,74882
St. Mary's County,2025,Non-Hisp Black Male,692,716,768,761,555,563,595,604,590,485,525,639,603,415,229,153,85,52,9030
Garrett County,2035,Total,1612,1702,1779,1673,1512,1503,1730,1964,1849,1724,1922,1864,2042,2087,2040,1685,1101,937,30726
Washington County,2015,Hispanic Male,390,388,343,294,248,237,256,241,231,213,144,114,80,44,21,5,8,2,3259
Carroll County,2035,Non-Hisp Other Male,469,521,465,391,215,258,301,250,243,237,175,147,223,226,234,61,23,10,4449
Wicomico County,2030,Non-Hisp White Male,1846,1679,1450,1416,2838,2318,1894,2216,1948,1700,1839,1721,1769,1948,1846,1436,917,905,31686
Montgomery County,2015,Total Non-Hispanic White,22641,22691,26326,23855,20393,28896,28644,25362,26228,31954,38533,40854,37390,30000,20697,13885,10805,14316,463470
State of Maryland,2025,Total Non-Hispanic White,151882,146377,145719,134414,143939,174125,194018,199616,181407,158948,168461,201798,230260,214158,175221,140131,88124,83773,2932371
Somerset County,2020,Non-Hisp White Female,275,259,243,282,248,270,287,358,341,411,449,557,637,536,418,303,182,157,6213
Dorchester Co,2020,Total Non-Hispanic White,909,1063,1044,1029,815,1079,1120,1319,1114,1231,1568,1780,1958,1585,1407,1024,554,540,21139
Washington County,2025,Total,10675,9748,9154,10574,9915,9270,8445,9107,9428,9241,9678,10806,11398,9744,7484,5858,3511,3370,157406
Anne Arundel County,2025,Total Female,17217,16985,17530,16434,15029,17844,18976,20078,19286,17637,17929,19700,20685,17954,14609,11554,7108,5925,292480
Garrett County,2045,Total Male,806,852,941,906,800,667,722,884,973,992,961,926,969,927,819,719,550,455,14869
Allegany County,2015,Total Male,1597,1902,1932,1927,2298,1693,2037,1715,1792,2081,2323,2384,2166,1913,1416,1089,694,628,31587
Worcester County,2015,Total Male,1050,1278,1442,1331,1156,1161,1157,1111,1284,1643,2016,1999,2057,1890,1540,1142,681,522,24460
Queen Anne's County,2035,Total Hispanic,288,248,212,194,192,192,149,132,111,153,160,145,103,65,32,18,8,8,2410
Kent County,2040,Non-Hisp White Female,315,366,367,342,341,330,345,320,231,325,506,507,569,730,858,745,782,768,8747
Montgomery County,2020,Non-Hisp Black Female,6644,6312,6577,7437,5924,7648,9480,8780,7714,7451,7506,7320,5893,4336,3316,2053,1238,1333,106962
St. Mary's County,2030,Total Hispanic,819,744,663,770,755,659,567,531,517,592,478,319,278,194,158,97,40,7,8188
Baltimore County,2035,Total Non-Hispanic White,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,299970
Kent County,2020,Total Non-Hispanic White,540,683,720,702,495,646,734,661,646,753,1068,1356,1481,1468,1198,978,533,566,15228
Somerset County,2040,Total Female,632,662,675,1037,1058,521,688,738,617,831,635,656,708,649,627,586,439,381,12140
Worcester County,2035,Non-Hisp Other Male,98,69,66,40,46,97,77,81,51,46,43,47,49,22,27,24,6,14,903
Montgomery County,2030,Non-Hisp Other Male,8043,7707,7577,7773,6955,7693,7449,6961,6541,6674,6985,7042,6405,5973,4881,3466,2539,5077,115741
Worcester County,2035,Non-Hisp Other Female,140,141,191,173,63,58,67,53,43,49,68,68,74,63,68,42,25,8,1394
Howard County,2035,Total Female,10093,11011,11881,10739,8943,9500,10968,12973,13758,12347,12152,10643,10131,10274,10540,9001,6789,6139,187882
Wicomico County,2015,Non-Hisp Other Male,222,309,284,263,212,195,152,172,163,147,181,134,94,66,51,23,4,2,2674
Talbot County,2030,Non-Hisp Other Female,54,44,37,19,68,62,62,51,26,43,33,15,31,9,6,6,4,12,582
Kent County,2040,Total Non-Hispanic White,591,710,687,638,648,641,627,747,555,830,1176,1067,1163,1410,1525,1502,1279,1134,16930
Washington County,2035,Non-Hisp Other Male,613,633,584,435,260,519,467,360,264,201,211,186,235,140,133,89,24,0,5354
Frederick County,2035,Non-Hisp Black Female,1367,1287,1360,1125,1011,1040,1248,1447,1440,1186,1125,1090,1070,1003,950,607,353,335,19044
Charles County,2015,Total Non-Hispanic White,3373,3183,3662,3947,3976,3770,3820,3369,3810,5248,6423,5961,4891,4035,3109,1832,1179,1023,66611
State of Maryland,2030,Hispanic Male,32753,30695,29273,31148,29146,28136,24329,26391,29683,31826,28705,23144,17963,12570,7108,4361,1926,1079,390236
Baltimore County,2025,Non-Hisp White Female,8948,9496,10541,9284,10541,11787,11319,12803,12765,11701,12166,14423,17519,18181,15004,12043,7750,10239,216510
Wicomico County,2030,Hispanic Female,362,308,283,305,372,247,199,232,247,258,196,137,52,56,30,23,7,17,3331
Carroll County,2025,Non-Hisp White Female,3479,3781,3675,3737,3384,3501,4198,4489,4114,3600,4599,5983,6699,6050,4844,4098,2759,2816,75806
Somerset County,2020,Non-Hisp Black Male,262,233,260,244,428,267,134,101,161,123,121,283,183,121,88,57,58,22,3146
Wicomico County,2035,Total Non-Hispanic Black,2765,2694,2830,2717,2782,2257,2314,2183,2430,2228,1910,1665,1434,1425,1354,1094,560,387,35029
Montgomery County,2040,Hispanic Female,11787,11220,10600,10054,9781,10206,10156,10278,9435,9052,9560,9240,8628,7400,6178,4975,3449,1842,153841
Calvert County,2020,Non-Hisp Other Female,131,138,281,319,148,147,149,132,124,156,179,178,134,73,54,41,22,3,2409
Charles County,2010,Non-Hisp Other Male,574,534,525,431,300,254,283,289,310,266,254,209,147,95,52,34,22,10,4589
Worcester County,2025,Non-Hisp Other Male,58,41,50,123,85,63,57,49,34,46,45,36,59,29,18,18,4,10,825
Talbot County,2010,Non-Hisp Other Female,78,74,73,44,24,39,30,25,49,40,31,18,16,8,8,2,4,2,565
Frederick County,2030,Total Female,10098,9505,8282,7381,7727,10757,11576,10619,8925,8363,7848,8513,9394,9843,8079,6120,4665,4991,152686
State of Maryland,2045,Non-Hisp Black Male,73385,74223,76122,74969,66855,65575,65719,66348,67782,66387,71221,62863,53233,42751,36094,30606,22869,21863,1038865
Garrett County,2045,Non-Hisp Other Female,57,64,90,50,25,26,39,19,22,16,14,18,16,12,2,10,10,5,495
Garrett County,2040,Total Male,793,844,919,866,730,671,810,925,1013,918,865,966,954,953,905,800,537,402,14871
Baltimore City,2035,Total Female,18083,16747,16457,15936,19573,23814,22993,20339,23557,25052,22123,17503,14566,13984,14521,12488,8560,7156,313452
Caroline County,2020,Non-Hisp Other Female,83,49,104,62,37,32,28,24,25,27,24,26,20,11,9,6,4,2,573
Howard County,2035,Hispanic Female,1442,1374,1253,1150,1168,1319,1256,1255,1156,975,922,933,797,519,373,271,182,62,16407
Charles County,2035,Total Non-Hispanic White,2323,2439,2477,2508,2494,2356,2524,2859,3046,2918,3011,2726,3053,3857,4325,3459,2316,2040,50731
Worcester County,2010,Non-Hisp White Male,786,912,1025,1030,867,847,784,949,1293,1593,1594,1648,1783,1574,1292,949,638,370,19934
Baltimore City,2025,Total Male,19232,17116,16410,16227,18304,21640,24975,25334,22620,18743,15278,15181,15292,12887,9326,6341,3219,2492,280617
Charles County,2045,Non-Hisp White Female,1084,1060,1076,1147,1110,1114,1131,1096,1154,1293,1451,1363,1378,1221,1335,1565,1479,1586,22643
State of Maryland,2010,Non-Hisp Other Male,22082,20399,18216,15880,14668,16086,16591,17031,15399,14715,13346,10572,8754,6187,4567,2710,1496,964,219663
Howard County,2020,Non-Hisp Other Female,2959,3317,3162,3047,2354,2503,2697,3201,3324,3147,2714,2288,1709,1314,1117,723,454,306,40336
Calvert County,2010,Non-Hisp White Male,1903,2399,2829,2846,1928,1760,1640,1876,2887,3522,3145,2532,2074,1453,871,559,411,287,34922
